@relation 'CE - MF'

@attribute entrez string
@attribute GO:0003677 {0,1}
@attribute GO:0003674 {0,1}
@attribute GO:0003676 {0,1}
@attribute GO:0005488 {0,1}
@attribute GO:0097159 {0,1}
@attribute GO:1901363 {0,1}
@attribute GO:0003700 {0,1}
@attribute GO:0001071 {0,1}
@attribute GO:0003707 {0,1}
@attribute GO:0004871 {0,1}
@attribute GO:0004872 {0,1}
@attribute GO:0038023 {0,1}
@attribute GO:0060089 {0,1}
@attribute GO:0008270 {0,1}
@attribute GO:0043167 {0,1}
@attribute GO:0043169 {0,1}
@attribute GO:0046872 {0,1}
@attribute GO:0046914 {0,1}
@attribute GO:0043565 {0,1}
@attribute GO:0008289 {0,1}
@attribute GO:0000166 {0,1}
@attribute GO:0036094 {0,1}
@attribute GO:1901265 {0,1}
@attribute GO:0005524 {0,1}
@attribute GO:0001882 {0,1}
@attribute GO:0001883 {0,1}
@attribute GO:0017076 {0,1}
@attribute GO:0030554 {0,1}
@attribute GO:0032549 {0,1}
@attribute GO:0032550 {0,1}
@attribute GO:0032553 {0,1}
@attribute GO:0032555 {0,1}
@attribute GO:0032559 {0,1}
@attribute GO:0035639 {0,1}
@attribute GO:0043168 {0,1}
@attribute GO:0097367 {0,1}
@attribute GO:0016887 {0,1}
@attribute GO:0003824 {0,1}
@attribute GO:0016462 {0,1}
@attribute GO:0016787 {0,1}
@attribute GO:0016817 {0,1}
@attribute GO:0016818 {0,1}
@attribute GO:0017111 {0,1}
@attribute GO:0042626 {0,1}
@attribute GO:0005215 {0,1}
@attribute GO:0015399 {0,1}
@attribute GO:0015405 {0,1}
@attribute GO:0016820 {0,1}
@attribute GO:0022804 {0,1}
@attribute GO:0022857 {0,1}
@attribute GO:0042623 {0,1}
@attribute GO:0043492 {0,1}
@attribute GO:0005515 {0,1}
@attribute GO:0019904 {0,1}
@attribute GO:0019901 {0,1}
@attribute GO:0019899 {0,1}
@attribute GO:0019900 {0,1}
@attribute GO:0004888 {0,1}
@attribute GO:0004497 {0,1}
@attribute GO:0016491 {0,1}
@attribute GO:0005506 {0,1}
@attribute GO:0016705 {0,1}
@attribute GO:0020037 {0,1}
@attribute GO:0046906 {0,1}
@attribute GO:0001664 {0,1}
@attribute GO:0005102 {0,1}
@attribute GO:0003924 {0,1}
@attribute GO:0005525 {0,1}
@attribute GO:0019001 {0,1}
@attribute GO:0032561 {0,1}
@attribute GO:0031683 {0,1}
@attribute GO:0032403 {0,1}
@attribute GO:0044877 {0,1}
@attribute GO:0003746 {0,1}
@attribute GO:0003723 {0,1}
@attribute GO:0008135 {0,1}
@attribute GO:0000977 {0,1}
@attribute GO:0000975 {0,1}
@attribute GO:0000976 {0,1}
@attribute GO:0001012 {0,1}
@attribute GO:0001067 {0,1}
@attribute GO:0003690 {0,1}
@attribute GO:0043566 {0,1}
@attribute GO:0044212 {0,1}
@attribute GO:1990837 {0,1}
@attribute GO:0000981 {0,1}
@attribute GO:0031625 {0,1}
@attribute GO:0044389 {0,1}
@attribute GO:0008134 {0,1}
@attribute GO:0044822 {0,1}
@attribute GO:0042578 {0,1}
@attribute GO:0016788 {0,1}
@attribute GO:0016791 {0,1}
@attribute GO:0004842 {0,1}
@attribute GO:0016740 {0,1}
@attribute GO:0019787 {0,1}
@attribute GO:0016874 {0,1}
@attribute GO:0061630 {0,1}
@attribute GO:0061659 {0,1}
@attribute GO:0005198 {0,1}
@attribute GO:0051536 {0,1}
@attribute GO:0051540 {0,1}
@attribute GO:0042803 {0,1}
@attribute GO:0042802 {0,1}
@attribute GO:0046983 {0,1}
@attribute GO:0004672 {0,1}
@attribute GO:0016301 {0,1}
@attribute GO:0016772 {0,1}
@attribute GO:0016773 {0,1}
@attribute GO:0004674 {0,1}
@attribute GO:0000339 {0,1}
@attribute GO:0016746 {0,1}
@attribute GO:0016747 {0,1}
@attribute GO:0004721 {0,1}
@attribute GO:0003779 {0,1}
@attribute GO:0008092 {0,1}
@attribute GO:0001085 {0,1}
@attribute GO:0022891 {0,1}
@attribute GO:0022892 {0,1}
@attribute GO:0008324 {0,1}
@attribute GO:0015075 {0,1}
@attribute GO:0015291 {0,1}
@attribute GO:0015293 {0,1}
@attribute GO:0015294 {0,1}
@attribute GO:0004843 {0,1}
@attribute GO:0008233 {0,1}
@attribute GO:0008234 {0,1}
@attribute GO:0019783 {0,1}
@attribute GO:0036459 {0,1}
@attribute GO:0070011 {0,1}
@attribute GO:0003735 {0,1}
@attribute GO:0004222 {0,1}
@attribute GO:0004175 {0,1}
@attribute GO:0008237 {0,1}
@attribute GO:0008047 {0,1}
@attribute GO:0030234 {0,1}
@attribute GO:0098772 {0,1}
@attribute GO:0035091 {0,1}
@attribute GO:0005543 {0,1}
@attribute GO:0003899 {0,1}
@attribute GO:0016779 {0,1}
@attribute GO:0034062 {0,1}
@attribute GO:0004553 {0,1}
@attribute GO:0016798 {0,1}
@attribute GO:0005509 {0,1}
@attribute GO:0003954 {0,1}
@attribute GO:0016651 {0,1}
@attribute GO:0008137 {0,1}
@attribute GO:0016655 {0,1}
@attribute GO:0050136 {0,1}
@attribute GO:0005179 {0,1}
@attribute GO:0015078 {0,1}
@attribute GO:0015077 {0,1}
@attribute GO:0022890 {0,1}
@attribute GO:0051213 {0,1}
@attribute GO:0004725 {0,1}
@attribute GO:0005230 {0,1}
@attribute GO:0005216 {0,1}
@attribute GO:0015267 {0,1}
@attribute GO:0015276 {0,1}
@attribute GO:0022803 {0,1}
@attribute GO:0022834 {0,1}
@attribute GO:0022836 {0,1}
@attribute GO:0022838 {0,1}
@attribute GO:0016627 {0,1}
@attribute GO:0016853 {0,1}
@attribute GO:0016860 {0,1}
@attribute GO:0015631 {0,1}
@attribute GO:0005261 {0,1}
@attribute GO:0046873 {0,1}
@attribute GO:0050660 {0,1}
@attribute GO:0048037 {0,1}
@attribute GO:0050662 {0,1}
@attribute GO:0003743 {0,1}
@attribute GO:0015081 {0,1}
@attribute GO:0016410 {0,1}
@attribute GO:0004004 {0,1}
@attribute GO:0003724 {0,1}
@attribute GO:0004386 {0,1}
@attribute GO:0008026 {0,1}
@attribute GO:0008186 {0,1}
@attribute GO:0070035 {0,1}
@attribute GO:0016667 {0,1}
@attribute GO:0016614 {0,1}
@attribute GO:0016616 {0,1}
@attribute GO:0009055 {0,1}
@attribute GO:0016903 {0,1}
@attribute GO:0005507 {0,1}
@attribute GO:0004129 {0,1}
@attribute GO:0015002 {0,1}
@attribute GO:0016675 {0,1}
@attribute GO:0016676 {0,1}
@attribute GO:0000988 {0,1}
@attribute GO:0000989 {0,1}
@attribute GO:0003712 {0,1}
@attribute GO:0003727 {0,1}
@attribute GO:0003729 {0,1}
@attribute GO:0005342 {0,1}
@attribute GO:0008509 {0,1}
@attribute GO:0008514 {0,1}
@attribute GO:0046943 {0,1}
@attribute GO:0019199 {0,1}
@attribute GO:0004702 {0,1}
@attribute GO:0005057 {0,1}
@attribute GO:0008168 {0,1}
@attribute GO:0016741 {0,1}
@attribute GO:0008757 {0,1}
@attribute GO:0016303 {0,1}
@attribute GO:0035004 {0,1}
@attribute GO:0052742 {0,1}
@attribute GO:0004713 {0,1}
@attribute GO:0004714 {0,1}
@attribute GO:0046933 {0,1}
@attribute GO:0019829 {0,1}
@attribute GO:0042625 {0,1}
@attribute GO:0044769 {0,1}
@attribute GO:0004532 {0,1}
@attribute GO:0004518 {0,1}
@attribute GO:0004527 {0,1}
@attribute GO:0004540 {0,1}
@attribute GO:0008408 {0,1}
@attribute GO:0070569 {0,1}
@attribute GO:0008121 {0,1}
@attribute GO:0016679 {0,1}
@attribute GO:0016681 {0,1}
@attribute GO:0016209 {0,1}
@attribute GO:0004519 {0,1}
@attribute GO:0004520 {0,1}
@attribute GO:0004536 {0,1}
@attribute GO:0016829 {0,1}
@attribute GO:0016835 {0,1}
@attribute GO:0004521 {0,1}
@attribute GO:0008094 {0,1}
@attribute GO:0016810 {0,1}
@attribute GO:0051082 {0,1}
@attribute GO:0004812 {0,1}
@attribute GO:0016875 {0,1}
@attribute GO:0016876 {0,1}
@attribute GO:0008170 {0,1}
@attribute GO:0008276 {0,1}
@attribute GO:0016278 {0,1}
@attribute GO:0016279 {0,1}
@attribute GO:0018024 {0,1}
@attribute GO:0042054 {0,1}
@attribute GO:0051287 {0,1}
@attribute GO:0046961 {0,1}
@attribute GO:0036442 {0,1}
@attribute GO:0042393 {0,1}
@attribute GO:0005516 {0,1}
@attribute GO:0001056 {0,1}
@attribute GO:0019905 {0,1}
@attribute GO:0000149 {0,1}
@attribute GO:0016765 {0,1}
@attribute GO:0015171 {0,1}
@attribute GO:0016796 {0,1}
@attribute GO:0003682 {0,1}
@attribute GO:0009975 {0,1}
@attribute GO:0030695 {0,1}
@attribute GO:0060589 {0,1}
@attribute GO:0008081 {0,1}
@attribute GO:0051539 {0,1}
@attribute GO:0005319 {0,1}
@attribute GO:0050661 {0,1}
@attribute class {0,1}

@data
185653,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266847,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181055,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181297,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177929,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174657,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175504,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176951,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175863,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172593,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3565081,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175819,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
